Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 26.78      0.87     0.87 656816565     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 18.31      1.47     0.60 64548256     0.00     0.00  Piece::rotation()
 10.46      1.81     0.34       36     0.01     0.01  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  9.23      2.11     0.30        1     0.30     2.90  Table::algoCSP(std::vector<Piece*, std::allocator<Piece*> >&)
  9.23      2.41     0.30 63595960     0.00     0.00  Table::checkPiece(int, int, Piece*)
  6.46      2.62     0.21 139788539     0.00     0.00  Piece::getColor(Face)
  4.15      2.75     0.14 74444084     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::base() const
  2.62      2.84     0.09 37296773     0.00     0.00  Piece::getPlaced()
  1.85      2.90     0.06 37221963     0.00     0.00  bool __gnu_cxx::operator!=<Piece**, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&)
  1.08      2.93     0.04 37296838     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator*() const
  1.08      2.97     0.04 36215964     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator++()
  1.08      3.00     0.04  4173904     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::__normal_iterator(Piece** const&)
  0.92      3.03     0.03  6485240     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.92      3.06     0.03  3242535     0.00     0.00  std::vector<int, std::allocator<int> >::pop_back()
  0.62      3.08     0.02  3242535     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.46      3.10     0.02  1005999     0.00     0.00  Piece::setRotation(int)
  0.31      3.11     0.01  4324243     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.31      3.12     0.01  3242535     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.31      3.13     0.01  3242535     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.31      3.14     0.01  2161744     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.31      3.15     0.01  2161744     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.31      3.16     0.01  2161744     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.31      3.17     0.01  1081030     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.31      3.18     0.01  1081030     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.31      3.19     0.01  1081030     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.31      3.20     0.01  1080876     0.00     0.00  _ZNSt16allocator_traitsISaIP5PieceEE12_S_constructIS1_IRKS1_EEENSt9enable_ifIXsrSt6__and_IINS3_18__construct_helperIT_IDpT0_EE4typeEEE5valueEvE4typeERS2_PSA_DpOSB_
  0.31      3.21     0.01  1080876     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<Piece* const&>)({parm#3}))) std::allocator_traits<std::allocator<Piece*> >::construct<Piece*, Piece* const&>(std::allocator<Piece*>&, Piece**, Piece* const&)
  0.31      3.22     0.01  1005999     0.00     0.00  Table::addPiece(int, int, Piece*, int)
  0.31      3.23     0.01   641832     0.00     0.00  Table::removePiece(int, int)
  0.31      3.24     0.01       16     0.00     0.00  void std::_Destroy<Piece**, Piece*>(Piece**, Piece**, std::allocator<Piece*>&)
  0.15      3.24     0.01  6485070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.15      3.25     0.01  1005963     0.00     0.00  Piece::setUnplaced()
  0.15      3.25     0.01       78     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      3.25     0.00  4323692     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.25     0.00  3242635     0.00     0.00  Piece* const& std::forward<Piece* const&>(std::remove_reference<Piece* const&>::type&)
  0.00      3.25     0.00  3242535     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      3.25     0.00  3242535     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
